Bonds,Benchmarks,AXE_TYPE,AXE_SIZE
US,,,
T1.8750222,,,
T1.8750322,,,
T1.8750422,,,
T1.5000826,,,
T1.6250526,,,
T2.0001126,,,
T2.3750527,,,
T2.250827,,,
T2.7500847,,,
,,,
EUR,,,
OBL0.000422,,,
DBR0.250227,,,
DBR2.50846,,,
,,,
,,,
GBP,,,
UKT4.25012/27,,,
