,20170607,20170608,20170609,20170612,20170613,20170614,20170615,20170616,20170619,20170620,20170621,20170622,20170623,20170626,20170627,20170628,20170629,20170630,20170703,20170704,20170705,20170706,20170707,20170711,20170712,20170713,20170714,20170718,20170719,20170720,20170721,20170724,20170725,20170726,20170727,20170728,20170731,20170801,20170802,20170803,20170804,20170808,20170810,20170811,20170814,20170815,20170816,20170817,20170818,20170821,20170822,20170823,20170824,20170825,20170829,20170830,20170831,20170901,20170904,20170905,20170906,20170907,20170908,20170911,20170912,20170913,20170914,20170915,20170918,20170919,20170920,20170921,20170922,20170925,20170926,20170927,20170928,20170929,20171002,20171003,20171004,20171005,20171006,20171009,20171010,20171011,20171012,20171013,20171016,20171017,20171018,20171019,20171020,20171023,20171024,20171025,20171026,20171027,20171030,20171031,20171101,20171102,20171103,20171106,20171107,20171108,20171109,20171110,20171113,20171114,20171115,20171116,20171117,20171120,20171121,20171122,20171123,20171124,20171127,20171128,20171129,20171130,20171201,20171204,20171205,20171206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARGE03H413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0030644030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0181379774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0181646883,1.252651,1.247085,1.2452185,1.243347,1.2414695,1.239587,1.2339055,1.232001,1.23009,1.228174,1.2262515,1.220451,1.218506,1.216555,1.214598,1.2126355,1.2067115,1.2047245,1.2027325,1.2007335,1.198729,1.1926775,1.190648,1.1865705,1.184522,1.178339,1.1762655,1.172098,1.170005,1.1636855,1.161566,1.15944,1.1573065,1.155167,1.1508665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0181915585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0184250261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0200252788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0205819433,0.7672355,0.4012465,0.919923,0.915009,0.910057,0.905067,1.2517325,1.2480105,1.2442595,1.240479,1.421176,1.4117995,1.0340725,1.029342,1.024573,1.0197645,1.1968225,1.1926555,1.188453,1.184215,1.1799415,1.5633595,1.560652,1.153519,1.14898,1.135123,1.1304215,0.914497,0.701911,0.6814455,0.6744965,1.091242,1.0861395,1.0809885,1.070541,1.0598935,1.0544935,0.8352205,0.8287085,0.808788,0.802016,1.0151835,0.528968,0.5205195,0.5119835,0.503359,0.494644,0.467942,0.4588505,0.44826781993,0.438733073544,0.429449903192,0.400724687388,0.390485008971,0.380840891022,0.371243831065,0.340551615843,0.329547250008,0.318975756467,0.308418342011,0.296604696471,0.263206686485,0.252869605798,0.239394103613,0.228416118913,0.215352587707,0.179492499311,0.1661807288,0.152689179,0.139988619347,0.127062502889,0.0872625634041,0.0733793747488,0.0596950166713,0.0457498015598,0.0317474702863,-0.0120800587287,-0.0272813168556,-0.0424093837955,-0.058128482509,-0.0735232077011,-0.12010114916,0.354386121472,0.341089662565,0.327471775799,0.3140043816,0.271897333823,0.257193127434,0.242547604663,0.227724512812,0.212318582138,0.16574636371,0.14928094813,0.132536170179,0.11602255987,0.0980761842965,0.0457637575994,0.045374296428,0.0273926500362,0.0088401885044,-0.0100744218844,-0.0685159421765,-0.0888336229349,-0.109432897953,-0.130356096288,-0.151714785829,-0.217522234801,-0.239477215047,-0.261965338725,-0.287293533632,-0.311904423254,-0.388338175015,-0.415064068945,-0.442384620403,-0.469980420069,-0.49776741926,-0.587102324405,-0.617633645928,-0.649400828593,-0.682623282026,-0.715863082695,-0.820754664864,-0.857714106848,-0.894753497984,-0.932596594949,-0.971807731968
