Bonds,Benchmarks,AXE_TYPE,AXE_SIZE
Russia,,,
RUSSIA20E,RUSSIA20,,
GAZPRU5.4417E,,,
GAZPRU6.618E,,,
GAZPRU3.718E,,,
GAZPRU4.618E,GAZPRU18,,
SIBNEF18E,,,
GAZPRU20E,GAZPRU20N,,
GAZPRU20G,GAZPRU20N,,
GAZPRU21E,GAZPRU21,,
GAZPRU23E,GAZPRU22,,
GAZPRU24G,GAZPRU22N,,
GAZPRU25E,GAZPRU22N,,
RURAIL21E,RURAIL20,,
RURAIL23E,RURAIL22,,
RURAIL31G,,,
VEBBNK18E,VEBBNK18,,
VEBBNK23E,VEBBNK23,,
SBERRU19E,,,
SBERRU19EN,SBERRU19,,
GPBRU18E,,,
GPBRU19E,GPBRU19,,
ABHFIN20E,ALFARU18,,
