Id,Date,Bond,Price,Position
144,08/07/2015,ZAMBIN22,85.25,1
145,03/08/2015,BELRUS15,100,-1
146,03/08/2015,EVRAZ20,91.125,1
147,20/08/2015,VEBBNK16CH,100,-1
148,20/08/2015,KAZAKS44,76.75,1
149,22/09/2015,NMOSRM19S,99.75,-1
150,22/09/2015,PETBRA15,63,1
151,19/10/2015,KAZAKS44,85.75,-1
152,19/10/2015,SOIAZ23,91.25,1
153,10/11/2015,GHANA17,101,-1
154,10/11/2015,MACEDO21E,95.625,1
155,08/12/2015,AFKSRU,101.875,-1
156,08/12/2015,REPCAM25,95,1
157,21/03/2016,ZAMBIN22,76.75,-1
158,21/03/2016,GHANA30,98.25,1
159,06/04/2016,MEMATU,88,-1
160,06/04/2016,MOZAM23,88,1
161,22/06/2016,SOIAZ23,94,-1
162,22/06/2016,VAKBN22S,100.75,-1
163,22/06/2016,UKRAIN19,98.25,1
164,22/06/2016,ZAMBIN27,83.5,1
165,08/07/2016,GHANA30,107,-1
166,08/07/2016,ESKOM25,102.75,-1
167,08/07/2016,BOAD21,105,1
168,08/07/2016,OCPMR24,107.75,1
169,20/07/2016,ARMEN20,104.75,-1
170,20/07/2016,VAKBN22S,93.5,1
171,17/08/2016,REPCAM25,111.25,-1
172,17/08/2016,EGYPT25,98,1
173,14/09/2016,IVYCST24,100.25,-1
174,14/09/2016,GHANA22,100,1
175,20/09/2016,MACEDO21E,102.5,-1
176,20/09/2016,AGROK20E,103.5,1
177,16/11/2016,VAKBN22S,93.5,-1
178,16/11/2016,TURKEY43,81.125,1
179,23/11/2016,MOZAM23,65,-1
180,23/11/2016,ARGENT27E,88,1
181,13/12/2016,UUUCN,103.125,-1
182,13/12/2016,ANGOL25,94.625,1
183,06/02/2017,SBERRU24S,102.4375,-1
184,06/02/2017,KERPW22,101.125,1
185,21/02/2017,FESHRU18,60,-1
186,21/02/2017,VOSTOK20,71,1
187,21/02/2017,AGROK20E,82.5,-1
188,21/02/2017,VAKBN25S,99.375,1
189,07/03/2017,ZAMBIN27,106.5,-1
190,07/03/2017,ARMEN25,105,1
191,19/04/2017,ARMEN25,109.5,-1
192,19/04/2017,NGERIA32,106.4375,1
193,19/04/2017,EVRAZ20,106.875,-1
194,19/04/2017,CRBKMO27S,100.75,1
195,11/05/2017,ANGOL25,105.875,-1
196,11/05/2017,BTUN24E,103.5,1
197,11/07/2017,KKB22,97.25,-1
198,11/07/2017,KZOKZ47,93.25,1
199,19/09/2017,BOAD21,106.5,-1
200,19/09/2017,GABON24,98,1
201,19/09/2017,HSBKKZ21,110.625,-1
202,19/09/2017,TAJIKI27,99,1
203,29/09/2017,UKRAIN19,105.5,-1
204,29/09/2017,UKRAIN32,97.75,1
205,08/11/2017,KZOKZ47,100.75,-1
206,08/11/2017,BHRAIN47,93.5,1
